rung,panel,n,p4a,p4b
0,B136,60,0,6
0,SMALL439,60,0,0
0,U56,60,0,24
5,B136,60,0,4
5,SMALL439,60,0,0
5,U56,60,0,22
10,B136,60,0,3
10,SMALL439,60,0,0
10,U56,60,0,14
25,B136,60,0,0
25,SMALL439,60,0,0
25,U56,60,0,5
